date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20150923,0600,,LO,11.3N,146.3W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20150923,1200,,LO,11.4N,146.6W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20150923,1800,,LO,11.6N,147.0W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20150924,0000,,LO,11.8N,147.5W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20150924,0600,,LO,12.3N,147.9W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20150924,1200,,LO,12.9N,148.2W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20150924,1800,,LO,13.6N,148.6W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20150925,0000,,TD,14.0N,149.1W,30,1004,0/0/0/0,0/0/0/0,0/0/0/0
20150925,0600,,TS,14.4N,149.5W,35,1002,65/50/0/25,0/0/0/0,0/0/0/0
20150925,1200,,TS,14.8N,149.8W,35,1002,65/50/0/25,0/0/0/0,0/0/0/0
20150925,1800,,TS,15.6N,150.2W,40,1001,70/55/0/35,0/0/0/0,0/0/0/0
20150926,0000,,TS,16.0N,150.6W,45,999,70/55/0/35,0/0/0/0,0/0/0/0
20150926,0600,,TS,16.5N,151.0W,45,999,70/60/0/40,0/0/0/0,0/0/0/0
20150926,1200,,TS,17.1N,151.5W,50,997,80/70/30/70,30/20/0/0,0/0/0/0
20150926,1800,,TS,17.1N,151.9W,55,992,80/70/30/70,40/20/20/30,0/0/0/0
20150927,0000,,TS,16.9N,152.6W,50,995,90/65/40/70,40/20/20/40,0/0/0/0
20150927,0600,,TS,16.6N,153.2W,45,999,70/25/45/70,0/0/0/0,0/0/0/0
20150927,1200,,TS,16.3N,153.6W,45,999,70/25/45/70,0/0/0/0,0/0/0/0
20150927,1800,,TS,16.1N,154.3W,45,999,70/25/45/70,0/0/0/0,0/0/0/0
20150928,0000,,TS,15.7N,155.2W,40,1004,50/25/30/50,0/0/0/0,0/0/0/0
20150928,0600,,TS,15.4N,155.8W,35,1005,45/20/0/45,0/0/0/0,0/0/0/0
20150928,1200,,TD,15.0N,156.6W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20150928,1800,,TD,15.1N,157.5W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20150929,0000,,LO,15.4N,158.4W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20150929,0600,,LO,15.5N,159.2W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20150929,1200,,LO,15.6N,159.9W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20150929,1800,,LO,15.4N,160.4W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20150930,0000,,LO,15.1N,160.8W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20150930,0600,,LO,14.7N,161.2W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20150930,1200,,LO,14.2N,161.6W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20150930,1800,,LO,14.1N,162.2W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
